id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
56766,Amazing duplex-terrace in old Lyon,269557,Isabelle,,5e Arrondissement,45.76312,4.82813,Entire home/apt,140,30,55,2018-09-04,0.37,1,85,0,"Available with a mobility lease only (""bail mobilité"")"
174304,Apartment in the heart of the city,832917,Giuseppina,,1er Arrondissement,45.76695,4.83241,Entire home/apt,166,2,374,2022-12-11,2.95,2,156,53,6938112368465
233372,Clear &very central flat Vieux Lyon,1221417,Max,,5e Arrondissement,45.75935,4.82228,Entire home/apt,52,2,243,2022-12-06,1.79,1,284,36,6938512680042
249711,very pleasant and located idealment,1308521,Anaïs,,7e Arrondissement,45.75207,4.83978,Entire home/apt,210,2,23,2022-10-20,0.18,2,336,3,D202109230976
1372080,Vue sur Lyon historique - APPART N°2,7438280,Xavier,,7e Arrondissement,45.73983,4.85174,Entire home/apt,56,3,68,2022-12-12,0.61,2,357,9,6938712976233
1377016,Entièrement rénové entre  Part Dieu et Tête d'Or,3670240,Riva,,6e Arrondissement,45.76947,4.8627,Entire home/apt,89,2,78,2022-11-28,0.78,2,283,10,6938613054652
1378174,Part-dieu maison avec jardin,7465441,Lysiane,,3e Arrondissement,45.75284,4.85566,Entire home/apt,110,3,9,2019-12-08,0.10,1,0,0,6938313005245
251630,Studio apartment near opera city centre,1319577,Emmanuel,,1er Arrondissement,45.77047,4.834133,Entire home/apt,35,15,3,2021-06-16,0.03,2,227,0,6938113043606
1383614,Proche tramways - APPART N°1,7438280,Xavier,,7e Arrondissement,45.73983,4.85174,Entire home/apt,61,3,95,2022-12-10,0.86,2,147,26,6938712975639
298089,triple room in a big flat,1221016,Romain,,3e Arrondissement,45.75775,4.87644,Private room,22,1,104,2020-01-30,0.79,8,0,0,693801234841
77104,Nice Flat in the center of Lyon,411285,Clementine,,1er Arrondissement,45.76842,4.82745,Entire home/apt,100,2,22,2022-09-30,0.15,1,141,2,6938113058353
2017746,Duplex de 43m2 3pers Centre Ville,10114815,Catherine,,4e Arrondissement,45.77445,4.83912,Entire home/apt,70,7,48,2022-10-25,0.45,1,186,7,6938113060729
1399933,Chambre confortable avec SdB proche Grange-Blanche,7560948,Clémentine,,3e Arrondissement,45.74528,4.88628,Private room,100,1,0,,,1,0,0,
2020878,Au coeur de lyon 6,10346274,Celine,,6e Arrondissement,45.76625,4.85209,Private room,46,1,82,2019-07-08,0.75,1,60,0,
329950,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,,3e Arrondissement,45.7467,4.87099,Entire home/apt,75,4,21,2022-06-20,0.17,1,23,1,6938312655352
1400666,Calme et lumière à la Croix-Rousse,7563550,Eric,,1er Arrondissement,45.77372,4.83847,Entire home/apt,57,19,61,2022-08-08,0.57,1,131,2,6938412941375
342674,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Yoann & Ida,,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,278,2022-11-22,2.18,1,249,31,6938312360788
349150,Charming Flat in old Town center,1769157,Jacques,,5e Arrondissement,45.76401,4.82896,Entire home/apt,110,2,419,2022-04-16,3.21,1,204,15,6938513079326
365998,Studio situé au cœur historique de Lyon,1848025,Anne-Marie,,1er Arrondissement,45.76983,4.8293,Entire home/apt,70,3,162,2022-12-11,1.26,1,216,33,6938112647884
369303,"Independent room on terrace with trees, B&B,Garage",1862505,Jean François,,6e Arrondissement,45.76487,4.86761,Entire home/apt,50,2,469,2021-12-11,3.59,1,49,0,Exempt - hotel-type listing
387453,"in downtown LYON, your little PROVENCE",718463,"Lionel, Layla & Samuel",,1er Arrondissement,45.769253,4.829836,Entire home/apt,90,2,70,2022-08-01,0.54,1,7,1,6938112646993
403747,FULL City CENTER Lyon Bellecour,2013310,Boris,,2e Arrondissement,45.75865,4.83353,Entire home/apt,79,2,575,2022-07-03,4.43,3,12,11,6938213215209
416475,Cosy 2-bedroom flat at the heart of Lyon,2070908,Amy,,1er Arrondissement,45.76913,4.83567,Entire home/apt,55,365,0,,,1,0,0,
551810,Charming rooftop house terrace and view Fourviere,2711663,Julie Et Michael,,2e Arrondissement,45.76489,4.8314,Entire home/apt,129,4,41,2022-06-11,0.44,1,160,2,6938112369158
593123,Belle chambre libre dans un T3,2928155,Fadel,,7e Arrondissement,45.74275,4.83755,Private room,26,4,6,2015-01-16,0.05,1,0,0,
612551,Nice and quiet two rooms flat,3038226,Sophie,,1er Arrondissement,45.76903,4.83281,Entire home/apt,70,360,19,2022-09-03,0.16,7,168,2,6938112414193
625569,Chambre Maison Grand confort Lyon,3103951,Agnès,,9e Arrondissement,45.80187,4.82131,Private room,145,1,14,2022-09-09,0.11,12,350,4,
626944,"❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️",1803736,Lisa,,6e Arrondissement,45.76648,4.84947,Entire home/apt,120,1,207,2022-10-29,1.66,2,222,21,6938612352787
2023674,Welcome in my sweet home (Lyon 9è),10399593,Florence,,9e Arrondissement,45.77378,4.80416,Entire home/apt,79,4,54,2022-10-02,0.50,1,345,6,6938912899765
2055514,Vieux Lyon quiet  view St Jean and roofs,7212199,Emma,,5e Arrondissement,45.75901,4.82386,Entire home/apt,75,2,146,2022-11-13,1.34,4,271,23,6938512407254
2088942,STUDIO SOPHIE,10662283,Sophie,,3e Arrondissement,45.75507,4.87533,Entire home/apt,45,365,51,2019-10-31,0.53,1,364,0,
2134046,Grande chambre verte et pièces attenantes,10889282,Stéphanie,,9e Arrondissement,45.77332,4.80863,Private room,45,1,9,2016-01-29,0.08,2,0,0,
2152784,"Loft Jeanne d'Arc 
Maison individuelle
Clim.",10987350,Sophie,,3e Arrondissement,45.75143,4.88444,Entire home/apt,75,2,58,2022-11-01,0.59,1,256,16,0690106938314
2174179,LYON centre coeur de la presqu'ile,11090776,Delphine,,2e Arrondissement,45.76287,4.83599,Private room,129,3,0,,,2,301,0,
2194982,"studio peniche, LE COLVERT, centre de LYON",11195394,Yves,,2e Arrondissement,45.74934768676758,4.820150852203369,Entire home/apt,126,1,8,2022-11-20,0.33,3,320,2,6938212475633
2202777,Wonderful 90m² flat perfectly located near Opera,3945197,Quentin,,1er Arrondissement,45.76494,4.83311,Entire home/apt,120,2,42,2022-12-11,0.42,1,85,11,6938113000252
2208241,Appartement Lyon Centre,11263808,Amaury,,7e Arrondissement,45.74982,4.84152,Entire home/apt,273,365,11,2017-02-14,0.14,1,362,0,
2208581,F3 cosy à Confluence,11238354,Florence,,2e Arrondissement,45.74233,4.81758,Entire home/apt,110,2,34,2022-12-12,0.32,2,0,2,20221007-0706
2216501,2 pièces moderne calme avec parking,11306631,Christine Et Lionel,,7e Arrondissement,45.74844,4.84519,Entire home/apt,95,365,6,2018-04-03,0.08,1,364,0,
1410219,Maison des berges du Rhone,5551686,Boris,,7e Arrondissement,45.75598,4.8407,Entire home/apt,140,4,11,2022-08-06,0.10,1,0,1,6938312656837
2255579,Beau deux pièces en RDJ,5495624,Thomas,,9e Arrondissement,45.77285,4.80027,Entire home/apt,85,3,35,2022-11-03,0.36,1,306,5,6938912586989
2259937,Douillet appartement à Lyon Vaise  à 20 m du métro,10332810,Thierry,,9e Arrondissement,45.7749,4.80608,Entire home/apt,75,5,96,2022-06-30,1.01,2,162,3,6938912918670
2276120,"Small group, parking, breakfast, garden",11621936,Celine,,4e Arrondissement,45.78076,4.8292,Private room,190,1,54,2022-10-23,0.53,1,79,5,GE01365/HO02861
2302128,Studio Vintage 70's,10986983,Marlene,,8e Arrondissement,45.73998,4.87827,Entire home/apt,59,2,317,2022-12-11,2.94,1,23,15,6938812348476
635366,A LOVELY BEDROOM IN VIEUX-LYON,3165326,Mila & Julien,,5e Arrondissement,45.75629,4.82355,Private room,52,2,303,2021-12-12,2.40,3,44,0,
635954,Lovely typical flat in the old Lyon,3165326,Mila & Julien,,5e Arrondissement,45.75793,4.825,Entire home/apt,102,365,47,2021-07-24,0.37,3,364,0,LYR-2254567
681291,quiet room in Lyon croix rousse,3469111,Laurence,,4e Arrondissement,45.77992,4.8374,Private room,45,1,118,2022-10-23,1.05,1,42,40,HO01541
684345,SPACIOUS AND MODERN STUDIO IN THE HEART OF LYON,2719085,Jerome,,1er Arrondissement,45.77118,4.83666,Entire home/apt,78,20,37,2022-05-23,0.30,1,216,2,6938113206031
695607,"cottage in ""Monchat""",3560828,Nicolas,,3e Arrondissement,45.74342,4.88471,Entire home/apt,146,3,47,2022-09-21,0.42,1,0,9,6938312657827
1421295,T2 Lyon centre Saxe Gambetta,7651159,Elise,,7e Arrondissement,45.75325,4.84327,Entire home/apt,58,5,46,2022-11-12,0.42,1,18,6,6938712522412
720121,Quiet Appartment Lyon 4e,3715660,Agnès,,1er Arrondissement,45.77352,4.82529,Entire home/apt,57,4,1,2022-09-18,0.34,2,137,1,6938413349765
2309213,"In Old Lyon. Room, bathroom and private WC",11411984,Claude Thierry,,5e Arrondissement,45.76311,4.8276,Private room,71,2,183,2022-10-24,1.73,1,0,2,6938512618674
1452778,Duplex de charme / 2 ch  / 4 pers / 1 sdb,7792796,Adrien,,4e Arrondissement,45.77449,4.83183,Entire home/apt,110,6,0,,,1,0,0,6938412980868
2352534,T2 cosy  sur les Pentes de la Croix Rousse,12014823,Giovanna Et Yohann,,1er Arrondissement,45.77203,4.82518,Entire home/apt,60,365,4,2020-08-03,0.08,1,87,0,
1463170,appartement centre Lyon Confluence,4855390,Marie,,2e Arrondissement,45.74321,4.81803,Entire home/apt,55,365,111,2019-08-16,0.98,1,179,0,
2383043,Confluence,8131697,Claire,,2e Arrondissement,45.74337,4.8206,Entire home/apt,87,4,34,2022-10-29,0.32,2,245,7,6938612620528
747327,Un grand appartement à Lyon,3922797,Sylvain,,7e Arrondissement,45.74071,4.84146,Entire home/apt,130,2,87,2022-11-13,0.71,1,4,9,6938712604861
758266,Chambre Presqu'île,3994549,Florian,,2e Arrondissement,45.75293,4.83113,Private room,90,1,13,2015-08-28,0.13,1,0,0,
